,timestamp,open,high,low,close,volume
0,2021-08-23 14:11:00+05:30,1380.35,1381,1379.35,1380.25,15564
1,2021-08-23 14:12:00+05:30,1380.5,1381,1379.25,1379.8,28503
2,2021-08-23 14:13:00+05:30,1379.8,1380.55,1378.05,1378.8,29879
3,2021-08-23 14:14:00+05:30,1378.8,1378.8,1377.15,1378,16814
4,2021-08-23 14:15:00+05:30,1378.3,1378.7,1375.35,1376.25,36478
5,2021-08-23 14:16:00+05:30,1376.2,1377.4,1375.25,1375.85,29114
6,2021-08-23 14:17:00+05:30,1376.05,1377,1375.25,1376.05,19369
7,2021-08-23 14:18:00+05:30,1376.2,1377.1,1376,1376.5,14610
8,2021-08-23 14:19:00+05:30,1376.45,1377,1376,1376.75,13784
9,2021-08-23 14:20:00+05:30,1376.5,1376.8,1375.5,1375.5,22982
10,2021-08-23 14:21:00+05:30,1376,1380.65,1375.55,1378.5,43208
11,2021-08-23 14:22:00+05:30,1378.85,1378.85,1376.5,1376.6,22239
12,2021-08-23 14:23:00+05:30,1377.1,1377.1,1371.1,1371.5,90477
13,2021-08-23 14:24:00+05:30,1371.15,1371.95,1366.15,1367.85,143738
14,2021-08-23 14:25:00+05:30,1367.65,1371.95,1367.45,1371.75,52993
15,2021-08-23 14:26:00+05:30,1371.75,1374,1371,1371,41669
16,2021-08-23 14:27:00+05:30,1371.2,1372.9,1371,1372.9,22913
17,2021-08-23 14:28:00+05:30,1372.85,1373.1,1370.55,1371.15,24260
18,2021-08-23 14:29:00+05:30,1371.2,1372.5,1370.1,1372.3,19318
19,2021-08-23 14:30:00+05:30,1372.85,1374,1372.3,1373.7,18460
20,2021-08-23 14:31:00+05:30,1373.9,1373.9,1372.1,1373.85,20157
21,2021-08-23 14:32:00+05:30,1374.1,1374.7,1373,1373.9,22491
22,2021-08-23 14:33:00+05:30,1373.55,1374.25,1373.4,1373.7,12098
23,2021-08-23 14:34:00+05:30,1373.45,1373.5,1370.55,1371.35,19465
24,2021-08-23 14:35:00+05:30,1371.5,1374.8,1371.25,1374.8,30642
25,2021-08-23 14:36:00+05:30,1374.8,1374.85,1372.1,1372.75,11258
26,2021-08-23 14:37:00+05:30,1373,1374,1370.55,1370.55,20319
27,2021-08-23 14:38:00+05:30,1370.35,1370.6,1367.6,1368.05,57422
28,2021-08-23 14:39:00+05:30,1368.1,1368.35,1365,1367.75,84925
